"","text"
11,"OBJECTIVES: This study establishes rates of use/abuse of Schedule II-IV prescription medications in U.S. active duty military personnel, and characterizes correlates of such use/abuse. METHODS: All active duty personnel serving for 12 months during fiscal year 2010 were included. Data were obtained from medical and pharmacy claims and drug screening results. Logistic regression models were used to examine predictors of drug use, along with bivariate analyses to compare abuse of prescribed and illegal drugs. RESULTS: Nearly one-third of active duty service members received at least one prescription for opioids, central nervous system depressants, or stimulants, with 26.4% having received at least one prescription for opioids. About 0.7%, 1.4%, and 0.6% of the total force received >90-day prescriptions for opioids, central nervous system depressants, or stimulants, respectively. Battlefield injury, receipt of psychotropic medications, and substance abuse adverse events were predictive of >90-day supply of opioids. About 0.7% of the total force had documented known drug abuse for prescribed drugs compared to 0.4% for illegal drug abuse. CONCLUSIONS: We recommend systematic monitoring of prescriptions for controlled substances which may carry serious consequences, evaluation of the impact of controlled substances on military readiness, and examination of the rationale for prescribing controlled drugs."
12,"Stellate Ganglion Block Used to Treat Symptoms Associated With Combat-Related Post-Traumatic Stress Disorder: A Case Series of 166 Patients."
13,"OBJECTIVE: Report the successful use of stellate ganglion blocks (SGBs) in 166 active duty service members with multiple combat deployments experiencing anxiety symptoms associated with post-traumatic stress disorder (PTSD). BACKGROUND: Successful treatment of PTSD symptoms with SGB has been reported previously. This is the largest published case series evaluating SGB with a minimum of 3 months follow-up. METHODS: Following clinical interview including administration of the PTSD Checklist (PCL), 166 service members with symptoms of PTSD elected to receive a SGB. All patients received a SGB on the right side at the level of the sixth cervical vertebrae (C6). The PCL was administered the day before treatment to establish a baseline, repeated 1 week later, and then monthly out to 3 months. A positive response was considered to be an improvement in the PCL score by 10 or greater points. Follow-up PCL scores from 3 to 6 months were obtained and analyzed for 166 patients. RESULTS: In a military population with multiple combat deployments, over 70% of the patients treated had a clinically significant improvement in their PCL score which persisted beyond 3 to 6 months postprocedure. CONCLUSION: Selective blockade of the right cervical sympathetic chain at the C6 level is a safe and minimally invasive procedure that may provide durable relief from anxiety symptoms associated with PTSD."
14,"Identifying Classes of Veterans With Multiple Risk Factors."
15,"As researchers examine the efficacy of interventions that simultaneously target more than 1 symptom, it is important to identify ways to help guide research and program development. This study used electronic medical record data to examine the covariation of multiple risk factors regularly assessed among primary care patients. It also examined the health care utilization of those patients identifying where the health care system came in contact with them to help identify the ideal locations these interventions may be most often used. We obtained data for six risk factors, as well as the number of primary care, mental health, and emergency department visits, from Veteran patients with a primary care visit. There were three main groups of primary care patients, identified using latent class analysis and regression. Although the smallest group, the ""High Treatment Need"" group, had an increased probability of screening positive for all four risk factors, the post-traumatic stress disorder screen was a significant discriminator of this group from the others. Results show that this group had the greatest number of encounters in all health care locations suggesting significant opportunities for intervention. However, future research is needed to examine the current interventions offered and potential avenues where risk factors may be addressed simultaneously."
16,"Injury Epidemiology of U.S. Army Special Operations Forces."
17,"Musculoskeletal injuries have long been a problem in general purpose forces, yet anecdotal evidence provided by medical, human performance, and training leadership suggests musculoskeletal injuries are also a readiness impediment to Special Operations Forces (SOF). The purpose of this study was to describe the injury epidemiology of SOF utilizing self-reported injury histories. Data were collected on 106 SOF (age: 31.7 +/- 5.3 years, height: 179.0 +/- 5.5 cm, mass: 85.9 +/- 10.9 kg) for 1 year before the date of laboratory testing and filtered for total injuries and those with the potential to be preventable based on injury type, activity, and mechanism. The frequency of musculoskeletal injuries was 24.5 injuries per 100 subjects per year for total injuries and 18.9 injuries per 100 subjects per year for preventable injuries. The incidence of musculoskeletal injuries was 20.8 injured subjects per 100 subjects per year for total injuries and 16.0 injured subjects per 100 subjects per year for preventable injuries. Preventable musculoskeletal injuries comprised 76.9% of total injuries. Physical training (PT) was the most reported activity for total/preventable injuries (PT Command Organized: 46.2%/60.0%, PT Noncommand Organized: 7.7%/10.0%, PT Unknown: 3.8%/5.0%). Musculoskeletal injuries impede optimal physical readiness/tactical training in the SOF community. The data suggest a significant proportion of injuries are classified as preventable and may be mitigated with human performance programs."
18,"A Review of Mild Traumatic Brain Injury Diagnostics: Current Perspectives, Limitations, and Emerging Technology."
19,"Mild traumatic brain injury (mTBI) or concussion is a common battlefield and in-garrison injury caused by transmission of mechanical forces to the head. The energy transferred in such events can cause structural and/or functional changes in the brain that manifest as focal neurological, cognitive, or behavioral dysfunction. Current diagnostic criteria for mTBI are highly limited, variable, and based on subjective self-report. The subjective nature of the symptoms, both in quantity and quality, together with their large overlap in other physical and behavioral maladies, limit the clinician's ability to accurately diagnose, treat, and make prognostic decisions after such injuries. These diagnostic challenges are magnified in an operational environment as well. The Department of Defense has invested significant resources into improving the diagnostic tools and accuracy for mTBI. This focus has been to supplement the clinician's examination with technology that is better able to objectify brain dysfunction after mTBI. Through this review, we discuss the current state of three promising technologies-soluble protein biomarkers, advanced neuroimaging, and quantitative electroencephalography-that are of particular interest within military medicine."
20,"Insomnia Treatment Experience and Preferences Among Veterans Affairs Primary Care Patients."
21,"Insomnia is common, but undertreated, among primary care patients. Within the Veterans Health Administration (VA), increasing attention has been given to the treatment of insomnia within primary care settings, but little research has examined Veterans' treatment preferences. We examined preferences for sleep treatment among VA primary care patients. Participants (N = 126: 98% male, 89% white; M age = 60 years) completed a brief survey. On the basis of Insomnia Severity Index scores, 22% reported subthreshold and 13% moderate insomnia. Fifty percent reported having issues with sleep (falling asleep, staying asleep, or sleeping too much) in the past 12 months; among these, only 44% reported any discussion of medication (34%) or other strategies (32%) to improve sleep with medical providers. The most preferred treatment approach was to work it out on one's own, followed by consulting the primary care provider (PCP). The most preferred modality was a one-on-one meeting with the PCP, followed by a one-on-one meeting with the behavioral health provider. In conclusion, VA primary care patients preferred handling sleep problems on their own, but if seeking help, they preferred working with PCPs over behavioral health providers. The majority of Veterans preferred individual treatment and strategies other than medication."
22,"Residual Injury, Appearance-Related Concerns, Symptoms of Post-Traumatic Stress Disorder, and Depression Within a Treatment-Seeking Veteran Sample."
23,"This study explored the associations among injury-related appearance changes experienced during deployment/combat, symptom severity of post-traumatic stress disorder and depression, and body image distress within a treatment-seeking veteran population (n = 91). Thirty-three percent of the sample reported having an appearance-related residual injury experienced during combat or deployment (n = 30). A subsample, who completed the body image distress measure (n = 69), was divided into two groups: those with an appearance-related residual injury (n = 22) and those without an appearance-related residual injury (n = 47). Correlational analyses revealed significant, positive correlations between body image distress and depression symptom severity. Results also showed a trend relationship between body image distress and post-traumatic stress disorder symptom severity for those with an appearance-related residual injury although correlations were nonsignificant among these constructs for those without an appearance-related residual injury. Multiple regression analyses revealed that body image distress was a unique predictor of depression symptom severity, controlling for residual injury status. Implications of these findings for exploring the psychological impact of residual injury were discussed."
24,"Bioassay-guided fractionation of extracts from Easter lily (Lilium longiflorum) flowers reveals unprecedented structural variability of steroidal glycoalkaloids."
25,"Several Lilium species are nephrotoxic in cats (Felis silvestris catus), among them Easter lilies (Lilium longiflorum). Although clinical trials have been carried out, the causative toxic phytochemicals have not yet been identified. We thus aimed to determine the toxic constituents of Easter lily flowers applying a bioassay-guided approach based on a feline kidney cell line model. The bioassay-guided fractionation traced the observed cytotoxicity to a complex mixture of compounds that were tentatively identified as steroidal glycoalkaloids of the solasodine-type, based on multiple-fragmentation ion trap and high-resolution mass spectrometry. The glycoalkaloids in the active fraction possessed trisaccharide chains, and at least 16 different congeners could be separated using liquid chromatography-mass spectrometry. The two principal compounds were solasodine trisaccharides containing two hexose and one deoxy-hexose unit. In the remaining 14 analogues, one or two of the hydroxyl groups of the second hexose from the aglycone were acetylated. In addition, some of the analogues appeared to be carbonate esters. Esterification of steroidal glycoalkaloids in plants has only been reported once and was in accordance with higher antifungal activity of the acetylated versus the parent congener. Our pilot study shows that esterification of steroidal glycoalkaloids in Lilium species might be common resulting in an array of different analogues with largely unexplored structural variability and bioactivity."
26,"Validation of the Chinese-language Brief Sensation Seeking Scale: Implications for risky riding behaviors of parental motorcyclists and their child passengers."
27,"Motorcycles are the leading cause of road traffic deaths in the Western Pacific and Southeast Asia, where Mandarin Chinese is the most commonly used language. Sensation seeking (SS) is reported to correlate with many risky motor vehicle behaviors, and therefore a culture-adapted Chinese instrument is needed to assess this personality trait in Chinese-speaking motorcycling populations. The standard front and blinded-backward process was carried out to formulate the Chinese-language Brief Sensation Seeking Scale (C-BSSS). 193 parental motorcyclists who rode with their young children were interviewed concerning their SS levels, demographics, riding behaviors, and the driving/riding experiences. A random sample of 30 subjects was re-interviewed 1-2 weeks later to examine the test-retest reliability. Psychometric analyses revealed satisfactory item characteristics, internal consistency, intraobserver reliability, and interobserver reliability. Additionally, parental motorcyclists who had the following characteristics were more likely to be the high sensation seekers (SSers), including male, younger age, presenting risky motor vehicle behaviors of themselves (e.g., higher riding speeds, operating after drinking, using a mobile phone while operating, and receiving a traffic ticket), and carrying child passengers who demonstrated dangerous motorcycling behaviors (e.g., a younger age, non-helmeted, and overloaded). We conclude that the C-BSSS is a useful and reliable measure of SS for ethnic Chinese populations. This instrument may be helpful to develop the future prevention strategy of motorcycle injuries in Chinese parental motorcyclists and their young child passengers."
28,"Sperm morphological normality under high magnification predicts laboratory and clinical outcomes in couples undergoing ICSI."
29,"The objective of this study was to evaluate whether 'motile sperm organelle morphology examination' (MSOME) is correlated with the outcome of ICSI. A total of 14400 spermatozoa from 72 couples undergoing ICSI were analysed by MSOME (x6600) and graded into four groups: grade I, normal form and no vacuoles; grade II, normal form and lesser than or equal to 2 small vacuoles; grade III, normal form greater than 2 small vacuoles or at least one large vacuole and grade IV, large vacuole and abnormal head shapes or other abnormalities. The correlations between the proportion of morphologically normal spermatozoa (grade I + II) and ICSI outcomes were assessed. The proportion of grade I+ II spermatozoa was lower in patients with oligoasthenoteratozoospermia (OAT) compared to patients with other types of semen alterations (10.6% vs. 17.0%, p = 0.001). The proportion of grade I+ II spermatozoa was positively correlated with blastocyst formation (S = 8.31, R2:13.5%, p = 0.014) and implantation rates (S = 8.32, R2: 7.9%, p = 0.030). The proportion of grade I + II spermatozoa was higher in patients with ongoing pregnancy in comparison with those who had a miscarriage (23.2% vs. 10.8%, p = 0.007). Sperm morphological normality was lower in oligoasthenoteratozoospermia patients but correlated with blastocyst formation, implantation and miscarriage rates in couples undergoing ICSI. MSOME may be valuable in predicting ICSI outcomes."
30,"Low pertussis toxin antibody levels in two regional cohorts of Canadian pregnant women."
31,"Infants under 6 months of age are at greatest risk of mortality and severe morbidity from pertussis disease. Interventions that increase pertussis protection in newborns are therefore a clear public health imperative. The objective of this study was to assess maternal pertussis toxin antibody (anti-PT) level as a potential source of mother-to-child transfer of pertussis-associated antibodies that may reduce neonatal risk of pertussis disease. Anti-PT level was assessed in a 2013 cohort of pregnant women from two regions in two Canadian provinces, British Columbia and Nova Scotia. Basic demographics, health, and pertussis immunization history were collected, along with blood specimens. Anti-PT levels were compared for self-reported vaccination status and prior pertussis disease. To assess secular trend, a parallel analysis was also undertaken, using anonymized residual sera from a 1996-1997 cohort of pregnant women in British Columbia. A total of 169 pregnant women participated in the prospective study - 50 from Nova Scotia and 119 from British Columbia. The mean and median age of participants from both sites was 31 years of age (range 16-42 years). The lower limit of quantification of the anti-PT assay was 10 ELISA units per milliliter (EU/ml). Overall, 59% of women had anti-PT levels less than 10EU/ml and anti-PT level did not differ with time since last self-reported pertussis vaccination (chi2(2)=3.166, p=0.205). Among a 1996-1997 cohort of pregnant women in British Columbia, 51% had anti-PT levels less than 10EU/ml. Our study found that most pregnant women in two geographically disparate health regions in Canada have low residual anti-PT levels, may be vulnerable to pertussis infection themselves, and would unlikely be a source of passive ante- or postnatal transfer of anti-PT to their newborn."
32,"Soluble ST2 in heart failure."
33,"In addition to routine clinical laboratory tests (including natriuretic peptides and cardiac troponins), other biomarkers are gaining attention for their utility in heart failure (HF) management. Among them, soluble ST2 (sST2) a novel biomarker integrating inflammation, fibrosis, and cardiac stress has been included in the 2013 ACCF/AHA guideline for additive risk stratification of patients with acute and chronic HF. sST2 is an interleukin-1 (IL-1) receptor family member, is secreted into the circulation and functions as a ""decoy"" receptor for IL-33, inhibiting IL-33/ST2 signaling. Blood concentrations of sST2 are increased in various diseases such as inflammatory diseases and heart diseases and are considered a valuable prognostic marker in both conditions. sST2 lacks disease specificity and, therefore, is not a valuable marker for the diagnosis of HF. In acute and chronic HF, however, sST2 is strongly associated with measures of HF severity and poor outcome. Several studies in patients with HF indicate that serial measurement of sST2 has prognostic value and could have a potential role in future biomarker-directed therapy. In this review, the role of sST2 as a HF biomarker will be discussed, specifically addressing analytical considerations of measuring sST2 as well as the clinical applications of measurement of sST2 for the diagnosis, prognosis and monitoring of acute and chronic HF."
34,"An Improved Flow Cytometric Immunobead Array to Detect Autoantibodies in Plasma from Patients with Immune Thrombocytopenic Purpura."
35,"BACKGROUND: Autoantibodies against platelet glycoproteins (GPs) play an important role in immune thrombocytopenic purpura (ITP). This study was to develop an improved flow cytometric immunobead array (FCIA) assay to detect platelet autoantibodies in ITP patient plasma. METHODS: Plasma samples were isolated from 71 ITP patients and 136 non-ITP controls and incubated with platelets from normal individuals. After washing, platelets were lysed and the platelet lysates were incubated with polystyrene microbeads coupled with monoclonal antibodies against human GPs IX (SZ1), Ib (SZ2), IIIa (SZ21), IIb (SZ22), and P-selectin (SZ51). Platelet GP-autoantibody complexes were detected by flow cytometry using a FITC-labeled secondary antibody. RESULT: Autoantibodies against platelet GPIb, GPIIb, GPIIIa, GPIX and P-selectin were detected in plasma from ITP patients, as indicated by high mean fluorescent intensity values when microbeads with antibodies SZ1, SZ2, SZ21, SZ22, and SZ51 were used. In ROC analysis, values of the area under the curve were 0.74, 0.83, 0.80, 0.79 and 0.87, respectively. Compared with the previously reported assays, this new FCIA eliminated the need of isolating platelets from ITP patients without compromising assay sensitivity and accuracy in predicting ITP. CONCLUSION: This simplified FICA assay may be more suitable for ITP diagnosis in clinical laboratory settings."
36,"ACOUSTIC TRAPPING FOR BACTERIA IDENTIFICATION IN POSITIVE BLOOD CULTURES WITH MALDI-TOF MS."
37,"Matrix assisted laser desorption/ionization time-of-flight mass spectrometry (MALDI-TOF MS) is current-ly changing the clinical routine for identification of microbial pathogens. One important application is the rap-id identification of bacteria for the diagnosis of bloodstream infections (BSI). A novel approach based on acoustic trapping and an integrated selective enrichment target (ISET) microchip that improves the sample preparation step for this type of analysis is presented. The method is evaluated on clinically relevant samples in the form of Escherichia coli infected blood-cultures. It is shown that non-contact acoustic trapping enables capture, enrichment and washing of bacteria directly from the complex background of crude blood cultures. The technology replaces centrifugation-based separation with a faster and highly automated sample prepara-tion method that minimizes manual handling of hazardous pathogens. The presented method includes a solid phase extraction step that was optimized for enrichment of the bacterial proteins and peptides that are used for bacterial identification. The acoustic trapping-based assay provided correct identification in 12 out 12 cases of E. coli positive blood cultures with an average score of 2.19+/-0.09 compared to 1.98+/-0.08 when using the standard assay. This new technology opens up for the possibility to automate and speed up an important and widely used diagnostic assay for bloodstream infections."
38,"Image Analysis for the Quantitative Comparison of Stress Fibers and Focal Adhesions."
39,"Actin stress fibers (SFs) detect and transmit forces to the extracellular matrix through focal adhesions (FAs), and molecules in this pathway determine cellular behavior. Here, we designed two different computational tools to quantify actin SFs and the distribution of actin cytoskeletal proteins within a normalized cellular morphology. Moreover, a systematic cell response comparison between the control cells and those with impaired actin cytoskeleton polymerization was performed to demonstrate the reliability of the tools. Indeed, a variety of proteins that were present within the string beginning at the focal adhesions (vinculin) up to the actin SFs contraction (non-muscle myosin II (NMMII)) were analyzed. Finally, the software used allows for the quantification of the SFs based on the relative positions of FAs. Therefore, it provides a better insight into the cell mechanics and broadens the knowledge of the nature of SFs."
40,"Gr-1+CD11b+ Immature Myeloid Cells (IMC) Promote Resistance of Pro-Inflammatory T Cells to Suppression by Regulatory T Cells in Atherosclerotic Apo E- Deficient Mice."
41,"Accumulating evidence indicates that both defects in Treg numbers and/or function as well as resistance of effector T cells to suppression may contribute to the development of human chronic inflammatory diseases. However, which mechanism involved in the progression of atherosclerosis remains unclear. In this study, we evaluated the production and function of CD4+ inflammatory and regulatory T cells in atherosclerosis-prone mice. We found that the hyperactivity and unresponsiveness to Treg-mediated suppression of inflammatory CD4+ T cells occurred in the progression of atherosclerosis, though Treg cells were present in very large numbers and fully functional. We further found that Gr-1+CD11b+ immature myeloid cells were significantly accumulated in atherosclerotic Apo E-/- mice, and they promoted resistance of inflammatory CD4+ T cells to Treg-mediated suppression in vitro and in vivo. we further confirmed that Gr-1+CD11b+ immature myeloid cells produced high level of interleukin 6 which was at least partially responsible for inducing unresponsiveness of inflammatory CD4+ T cells to suppression via activation of Jak/Stat signaling pathway. Taken together, these findings might provide new insights to explore potential targets for immune therapeutic intervention in atherosclerosis."
42,"Development of CpG-Oligodeoxynucleotides for Effective Activation of Rabbit TLR9 Mediated Immune Responses."
43,"CpG-oligodeoxynucleotides (CpG-ODN) are potent immune stimuli being developed for use as adjuvants in different species. Toll-like receptor 9 (TLR9) is the cellular receptor for CpG-ODN in mammalian cells. The CpG-ODN with 18-24 deoxynucleotides that are in current use for human and mouse cells, however, have low activity with rabbit TLR9. Using a cell-based activation assay, we developed a type of CpG-ODN containing a GACGTT or AACGTT motif in 12 phosphorothioate-modified deoxynucleotides with potent stimulatory activity for rabbit TLR9. The developed CpG-ODN have higher activities than other developed CpG-ODN in eliciting antigen-nonspecific immune responses in rabbit splenocytes. When mixed with an NJ85 peptide derived from rabbit hemorrhagic disease virus, they had potent activities to boost an antigen-specific T cell activation and antibody production in rabbits. Compared to Freund's adjuvant, the developed CpG-ODN are capable of boosting a potent and less toxic antibody response. The results of this study suggest that both the choice of CpG-motif and its length are important factors for CpG-ODN to effectively activate rabbit TLR9 mediated immune responses."
44,"Characterization of Clostridium difficile Isolates from Human Fecal Samples and Retail Meat from Pennsylvania."
45,"Abstract A study was conducted to determine the prevalence of Clostridium difficile and characterize C. difficile isolates from human stool and retail grocery meat samples. Human stool samples (n=317) were obtained from a clinical laboratory and meat samples (n=303) were collected from 8 retail grocery stores from October 2011 through September 2012 from Centre County of Pennsylvania and were examined for C. difficile. C. difficile was isolated from 16.7% of stool samples (n=317) and 6.9%, 11.5%, 14.5%, and 7.8% of beef (n=72), pork (n=78), turkey (n=76), and chicken (n=77) samples, respectively. Six different toxin gene profiles were detected in all human and meat isolates of C. difficile based on the presence or absence of toxin genes tcdA, tcdB, and cdtA and cdtB. Interestingly, 75.6% of the human C. difficile isolates lacked any deletion in the tcdC gene (139-bp), whereas a 39-bp deletion was observed in 61.3% of the C. difficile strains isolated from meat samples. C. difficile from meat samples were more susceptible to clindamycin, moxifloxacin, vancomycin, and metronidazole than C. difficile isolates from human samples. Twenty-five different ribotypes were identified in human and meat C. difficile isolates. In conclusion, significant genotypic and phenotypic differences were observed between human and meat isolates of C. difficile; however, a few C. difficile isolates from meat-in particular ribotypes 078, PA01, PA05, PA16, and PA22 with unique profiles (toxin gene, tcdC gene size and antimicrobial resistance profiles)-were similar to human C. difficile isolates."
46,"Hospital Disaster Response Using Business Impact Analysis."
47,"Introduction The catastrophic Great East Japan Earthquake in 2011 created a crisis in a university-affiliated hospital by disrupting the water supply for 10 days. In response, this study was conducted to analyze water use and prioritize water consumption in each department of the hospital by applying a business impact analysis (BIA). Identifying the minimum amount of water necessary for continuing operations during a disaster was an additional goal. Problem Water is essential for many hospital operations and disaster-ready policies must be in place for the safety and continued care of patients. METHODS: A team of doctors, nurses, and office workers in the hospital devised a BIA questionnaire to examine all operations using water. The questionnaire included department name, operation name, suggested substitutes for water, and the estimated daily amount of water consumption. Operations were placed in one of three ranks (S, A, or B) depending on the impact on patients and the need for operational continuity. Recovery time objective (RTO), which is equivalent to the maximum tolerable period of disruption, was determined. Furthermore, the actual use of water and the efficiency of substitute methods, practiced during the water-disrupted periods, were verified in each operation. RESULTS: There were 24 activities using water in eight departments, and the estimated water consumption in the hospital was 326 (SD = 17) m3 per day: 64 (SD = 3) m3 for S (20%), 167 (SD = 8) m3 for A (51%), and 95 (SD = 5) m3 for B operations (29%). During the disruption, the hospital had about 520 m3 of available water. When the RTO was set to four days, the amount of water available would have been 130 m3 per day. During the crisis, 81% of the substitute methods were used for the S and A operations. CONCLUSION: This is the first study to identify and prioritize hospital operations necessary for the efficient continuation of medical treatment during suspension of the water supply by applying a BIA. Understanding the priority of operations and the minimum daily water requirement for each operation is important for a hospital in the event of an unexpected adverse situation, such as a major disaster. Suginaka H , Okamoto K , Hirano Y , Fukumoto Y , Morikawa M , Oode Y , Sumi Y , Inoue Y , Matsuda S , Tanaka H . Hospital disaster response using business impact analysis. Prehosp Disaster Med. 2014;29(5):1-8 ."
48,"Both Central and Peripheral Auditory Systems Are Involved in Salicylate-Induced Tinnitus in Rats: A Behavioral Study."
49,"OBJECTIVE: This study was designed to establish a low dose salicylate-induced tinnitus rat model and to investigate whether central or peripheral auditory system is involved in tinnitus. METHODS: Lick suppression ratio (R), lick count and lick latency of conditioned rats in salicylate group (120 mg/kg, intraperitoneally) and saline group were first compared. Bilateral auditory nerves were ablated in unconditioned rats and lick count and lick latency were compared before and after ablation. The ablation was then performed in conditioned rats and lick count and lick latency were compared between salicylate group and saline group and between ablated and unablated salicylate groups. RESULTS: Both the R value and the lick count in salicylate group were significantly higher than those in saline group and lick latency in salicylate group was significantly shorter than that in saline group. No significant changes were observed in lick count and lick latency before and after ablation. After ablation, lick count and lick latency in salicylate group were significantly higher and shorter respectively than those in saline group, but they were significantly lower and longer respectively than those in unablated salicylate group. CONCLUSION: A low dose of salicylate (120 mg/kg) can induce tinnitus in rats and both central and peripheral auditory systems participate in the generation of salicylate-induced tinnitus."
50,"Physical Activity versus Cardiorespiratory Fitness: Two (Partly) Distinct Components of Cardiovascular Health?"
51,"Physical activity (PA) and cardiorespiratory fitness (CRF) both have inverse relationships to cardiovascular (CV) morbidity and mortality. Recent position papers and guidelines have identified the important role of both of these factors in CV health. The benefits of PA and CRF in the prevention of CV disease and risk factors are reviewed. In addition, assessment methodology and utilization in the research and clinical arenas are discussed. Finally, the benefits, methodology, and utilization are compared and contrasted to better understand the two (partly) distinct components and their impact on CV health."
52,"Physical Activity and Cardiorespiratory Fitness as Major Markers of Cardiovascular Risk: Their Independent and Interwoven Importance to Health Status."
