許可證字號,註銷狀態,註銷日期,註銷理由,有效日期,發證日期,許可證種類,醫療器材級數,通關簽審文件編號,中文品名,英文品名,醫器主類別一,醫器次類別一,限制項目,申請商名稱,申請商地址,申請商統一編號,製造商名稱,製造廠廠址,製造廠國別,異動日期,效能,製程,製造廠公司地址,劑型,包裝
衛署醫器輸壹字第001061號,已註銷,2013-01-18,許可證已逾有效期,2010-10-19,2005-10-19,醫　器,,DHA04400106105,"""丹托林""矯正擴張螺絲及其附件","""Dentaurum""Expansion Screws and Accessories","F 牙科用裝置",,"輸　入 ",元鴻儀器有限公司,高雄市新興區七賢二路３５號４樓,23666225,"DENTAURUM J.P. WINKELSTROETER KG","TURNSTRABE 31, 75228 ISPRINGEN, GERMANY",GERMANY,2013-02-25,,,,,
衛署醫器製字第000065號,,,,2018-10-30,1980-10-30,醫　器,,DHY00500006500,"""十美牌""輸液器","""SIGMA"" INFUSION SET","1301 輸液套",,國　產,聯和醫療器材股份有限公司,新北市瑞芳區頂坪路３４號,33886753,聯和醫療器材股份有限公司,新北市瑞芳區頂坪路３４號,TAIWAN,2014-03-20,,,,,
衛署醫器輸壹字第001062號,已註銷,2012-11-07,許可證已逾有效期,2010-10-19,2005-10-19,醫　器,,DHA04400106207,〝馬尼〞口內牙鑽頭,"""MANI"" Intraoral dental drill","F 牙科用裝置","F4130 口內牙鑽頭","輸　入 ",啟定實業股份有限公司,桃園縣中壢市普忠路231巷18-3號,05027112,"MANI,INC.","743, NAKAAKUTSU TAKANEZAWA-MACHI SHIOYA-GUN, TOCHIGI-KEN JAPAN",JAPAN,2012-11-12,,,,,
衛署醫器輸壹字第001063號,已註銷,2012-10-29,許可證已逾有效期,2010-10-19,2005-10-19,醫　器,,DHA04400106309,海倫那清洗液,"SURE prep","B 血液學及病理學用裝置",,"輸　入 ",麗揚生物科技股份有限公司,雲林縣口湖鄉台子村台興路24巷17號,86979913,"HELENA BIOSCIENCES EUROPE","COLIMA AVENUE, SUNDERLAND ENTERPRISE PARK, SUNDERLAND, TYNE & WEAR, SR53XB U.K.","UNITED KINGDOM",2012-10-31,,,,,
衛署醫器輸壹字第001674號,已註銷,2013-01-21,許可證已逾有效期,2010-11-01,2005-11-01,醫　器,,DHA04400167402,"""艾斯泰格""利克斯微創心臟手術器械 (未滅菌)","""ESTECH"" LICS Instruments","E 心臟血管用裝置","E4500 心臟血管外科器械","輸　入 ",臺灣亞衛有限公司,台北市士林區重慶北路四段253號5樓,84946163,"ENDOSCOPIC TECHNOLOGIES, INC.","4135 BLACKHAWK PLAZA CIRCLE, SUITE 150 DANVILLE, CA 94506, U.S.A.","UNITED STATES",2013-01-21,,,,,
衛署醫器製字第000066號,,,,2018-10-30,1980-10-30,醫　器,,DHY00500006602,"""十美牌""頭皮針輸液器","""SIGMA"" SCALP VEIN INFUSION SET","1308 頭皮針",,國　產,聯和醫療器材股份有限公司,新北市瑞芳區頂坪路３４號,33886753,聯和醫療器材股份有限公司,新北市瑞芳區頂坪路３４號,TAIWAN,2014-03-20,,,,,
衛署醫器製字第000067號,已註銷,1985-09-27,,1985-12-23,1980-12-23,醫　器,,DHY00500006701,雙針電子血壓計,"""RIGHTON"" TWIN NEEDLE ELECTRONIC SPHYGMOMANOM","0503 電子血壓計",,國　產,徠通儀器股份有限公司,台北巿忠孝東路六段２８１號３樓,,徠通儀器股份有限公司,台北巿忠孝東路六段２８１號３樓,TAIWAN,2001-12-30,,,,,
衛署醫器製字第000068號,已註銷,1985-09-09,,1986-04-03,1981-04-03,醫　器,,DHY00500006803,塑膠注射筒（附針）,"""LUCKY"" DISPOSABLE SYRINGE(WITH NEEDLE)","1102 塑膠注射筒附針",,國　產,幸福工業有限公司,板橋巿觀光街１０號,,幸福工業有限公司,板橋巿觀光街１０號,TAIWAN,2001-12-30,,,,,
衛署醫器輸壹字第001064號,,,,2015-10-19,2005-10-19,醫　器,,DHA04400106401,豐技乳膠隱形球菌抗原偵測系統,"LATEX-CRYPTOCOCCUS ANTIGEN DETECTION SYSTEM","C 免疫學及微生物學用裝置",,"輸　入 ",豐技生物科技股份有限公司,台北市中正區忠孝東路2段80號3樓,86704393,"IMMUNO-MYCOLOGICS, INC.","P.O. BOX 1151, NORMAN, OKLAHOMA, 73070, U.S.A.","UNITED STATES",2010-07-23,偵測人體血清和腦脊髓液中新型隱球菌的莢膜多醣抗原。,,,,
衛署醫器輸壹字第004103號,,,,2016-04-20,2006-04-20,醫　器,1,DHA04400410300,羅氏可霸斯C111高密度膽固醇檢驗試劑(未滅菌),"Cobas C111 HDL Cholesterol (Non-Sterile)","A 臨床化學及臨床毒理學","A1475 脂蛋白試驗系統","輸　入 ",台灣羅氏醫療診斷設備股份有限公司,台北市中山區民權東路3段2號10樓,23932173,"ROCHE DIAGNOSTICS GMBH","SANDHOFER STRASSE 116 D-68305 MANNHEIM, GERMANY",GERMANY,2014-08-13,,,,,
衛署醫器輸壹字第004104號,,,,2016-04-20,2006-04-20,醫　器,1,DHA04400410402,羅氏可霸斯C111三酸甘油酯檢驗試劑(未滅菌),"Cobas C111 Triglycerides (Non-Sterile)","A 臨床化學及臨床毒理學","A1705 三酸甘油脂試驗系統","輸　入 ",台灣羅氏醫療診斷設備股份有限公司,台北市中山區民權東路3段2號10樓,23932173,"ROCHE DIAGNOSTICS GMBH","SANDHOFER STRASSE 116 D-68305 MANNHEIM, GERMANY",GERMANY,2014-08-13,,,,,
衛署醫器輸壹字第001065號,,,,2015-10-19,2005-10-19,醫　器,,DHA04400106500,"貝克曼庫爾特 協康鎂試劑","BECKMAN COULTER SYNCHRON Magnesium (MG) Reagent","A 臨床化學及臨床毒理學用裝置",,"輸　入 ",美商貝克曼庫爾特有限公司台灣分公司,台北市大安區敦化南路二段216號8樓,09435364,"BECKMAN COULTER IRELAND INC.","MERVUE BUSINESS PARK, GALWAY, IRELAND",IRELAND,2011-03-10,"利用SYNCHRON System的生化儀器，配合則克曼庫爾特SYNCHRON Multi校正液的使用，定量血清、血漿或尿液中鎂的濃度。",,,,
衛署醫器製字第000069號,已註銷,1992-07-14,列屬無須查驗登記項目範圍,1992-04-03,1981-04-03,醫　器,,DHY00500006905,電子血壓計,"""ESMES"" ELECTRONIC SPHYGMOMANOMETER","0503 電子血壓計",,國　產,愛美士股份有限公司,屏東巿工業五路１號,,愛美士股份有限公司,屏東巿工業五路１號,TAIWAN,2001-12-30,,,,,
衛署醫器輸壹字第001274號,,,,2015-10-27,2005-10-27,醫　器,,DHA04400127409,亞培愛可信溶液系統組,"ABBOTT Axsym solution system","B 血液學及病理學用裝置",,"輸　入 ",美商亞培股份有限公司台灣分公司,台北市中山區民生東路三段49號5樓、6樓及51號6樓,30961216,"ABBOTT LABORATORIES","100 AND 200 ABBOTT PARK ROAD, ABBOTT PARK, IL 60064-3500,USA","UNITED STATES",2014-08-04,"用於ABBOTT Axsym systrm之溶液以輔助測試之進行。",,"NORTH CHICAGO,ILLINOIS 60064, USA",,
衛署醫器輸壹字第001275號,已註銷,2012-10-30,許可證已逾有效期,2010-10-27,2005-10-27,醫　器,,DHA04400127501,"""屹龍"" 電動病床","""Hill-Rom"" Bad System","J 一般醫院及個人使用裝置",,"輸　入 ",朝悅股份有限公司,新北市三重區興德路111-3號11樓,86320312,"HILL-ROM, INC.","HIGHWAY 46 EAST, BATESVILLE, IN 47006, U.S.A.","UNITED STATES",2012-10-31,,,,,
衛署醫器輸壹字第001065號,,,,2015-10-19,2005-10-19,醫　器,,DHA04400106500,"貝克曼庫爾特 協康鎂試劑","BECKMAN COULTER SYNCHRON Magnesium (MG) Reagent","A 臨床化學及臨床毒理學用裝置",,"輸　入 ",美商貝克曼庫爾特有限公司台灣分公司,台北市大安區敦化南路二段216號8樓,09435364,"BECKMAN COULTER, INC.","4300 N. HARBOR BOULEVARD, FULLERTON, CA 92835, U.S.A.","UNITED STATES",2011-03-10,"利用SYNCHRON System的生化儀器，配合則克曼庫爾特SYNCHRON Multi校正液的使用，定量血清、血漿或尿液中鎂的濃度。",,,,
衛署醫器輸壹字第001066號,,,,2015-10-19,2005-10-19,醫　器,,DHA04400106602,"""愛科來""濃縮清洗液","Concentrated Washing Solution ""Arkray""","B 血液學及病理學用裝置",,"輸　入 ",育生企業股份有限公司,台南市新營區開元路319之7號,22559471,"ARKRAY, GLOBAL BUSINESS INC.","57 NISHI AKETA-CHO, HIGASHI-KUJO MINAMI-KU, KYOTO 601-8045, JAPAN",JAPAN,2014-06-09,僅限於AX-4280尿液分析儀的儀器保養清洗用途。,,,,
衛署醫器輸壹字第001066號,,,,2015-10-19,2005-10-19,醫　器,,DHA04400106602,"""愛科來""濃縮清洗液","Concentrated Washing Solution ""Arkray""","B 血液學及病理學用裝置",,"輸　入 ",育生企業股份有限公司,台南市新營區開元路319之7號,22559471,"ARKRAY FACTORY INC.","1480 KOJI, KONAN-CHO, KOKA, SHIGA, 520-3306, JAPAN",JAPAN,2014-06-09,僅限於AX-4280尿液分析儀的儀器保養清洗用途。,,,,
衛署醫器輸壹字第001067號,已註銷,2012-11-19,許可證已逾有效期,2010-10-19,2005-10-19,醫　器,,DHA04400106704,超柏細胞學反應試劑組,"SurePathTM GYN PRESERVATIVE VIAL KIT","B 血液學及病理學用裝置",,"輸　入 ",臺灣分子檢驗股份有限公司,臺北市中山區南京東路２段２１８號４樓,80297980,"NEW SYSTEM INTERNATIONAL LIMITED","UNIT A-C , 11/F., POWER INDUSTRIAL BUILDING 9-15 WO HEUNG STREET , FOTAN , SHATIN , N.T. HONG KONG","HONG KONG",2012-11-19,,,,,
衛署醫器輸字第001714號,已註銷,1990-02-26,有效期限已屆,1986-06-02,1981-06-02,醫　器,,DHA00600171404,人工植皮墊,"""MEC"" SKIN GRAFT MESH STENT","0329 內植人工材料",,"輸　入 ",明惠貿易有限公司,台北巿中山北路二段２６巷１０號,11322197,"MEDICAL ENGINEERING CORPORATION.","3037 MT. PLEASANT STREET RACINE WISCONSIN 53404 USA","UNITED STATES",2001-12-30,,,,,
衛署醫器輸壹字第001067號,已註銷,2012-11-19,許可證已逾有效期,2010-10-19,2005-10-19,醫　器,,DHA04400106704,超柏細胞學反應試劑組,"SurePathTM GYN PRESERVATIVE VIAL KIT","B 血液學及病理學用裝置",,"輸　入 ",臺灣分子檢驗股份有限公司,臺北市中山區南京東路２段２１８號４樓,80297980,"TRIPATH IMAGING, INC.","780 PLANTATION DRIVE, BURLINGTON, NC, 27215, U.S.A.","UNITED STATES",2012-11-19,,,,,
衛署醫器輸壹字第001068號,已註銷,2013-01-14,許可證已逾有效期,2010-10-19,2005-10-19,醫　器,,DHA04400106806,速樂定ASO檢驗試劑,SERODIA-ASO,"C 免疫學及微生物學用裝置",,"輸　入 ",台富製藥股份有限公司,桃園縣大園鄉溪海村崙頂３６號,05084773,"FUJIREBIO INC., HACHIOJI FACILITY","51, KOMIYA-CHO, HACHIOJI-SHI TOKYO, 192-0031 JAPAN",JAPAN,2013-01-19,,,,,
衛署醫器輸壹字第001068號,已註銷,2013-01-14,許可證已逾有效期,2010-10-19,2005-10-19,醫　器,,DHA04400106806,速樂定ASO檢驗試劑,SERODIA-ASO,"C 免疫學及微生物學用裝置",,"輸　入 ",台富製藥股份有限公司,桃園縣大園鄉溪海村崙頂３６號,05084773,"FUJIREBIO INC.","62-5, NIHO NBASHI-HAMA CHO 2-CHOME CHUO-KU, TOKYO 103-0007, JAPAN",JAPAN,2013-01-19,,,,,
衛署醫器輸字第001715號,已註銷,1990-02-26,有效期限已屆,1986-06-02,1981-06-02,醫　器,,DHA00600171506,人工陰莖,"""MEC"" FLEXI-ROD PENILE IMPLANT","0318 人工陰莖",,"輸　入 ",明惠貿易有限公司,台北巿中山北路二段２６巷１０號,11322197,"MEDICAL ENGINEERING CORPORATION.","3037 MT. PLEASANT STREET RACINE WISCONSIN 53404 USA","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第001716號,已註銷,1990-02-26,有效期限已屆,1986-06-02,1981-06-02,醫　器,,DHA00600171608,人工雙Ｊ型尿道,"""MEC"" DOUBLE J. URETERAL STENT","0325 其他人工器官",,"輸　入 ",明惠貿易有限公司,台北巿中山北路二段２６巷１０號,11322197,"MEDICAL ENGINEERING CORPORATION.","3037 MT. PLEASANT STREET RACINE WISCONSIN 53404 USA","UNITED STATES",2001-12-30,,,,,
衛署醫器輸壹字第001069號,,,,2015-10-19,2005-10-19,醫　器,,DHA04400106908,易立測採血筆,"Easy Touch Auto-Lancet (Puncturer)","I 一般及整型外科手術裝置",,"輸　入 ",聿新生物科技股份有限公司新竹科學園區分公司,新竹市科學工業園區工業東路9號1樓,16930971,"PALCO LABORATORIES, INC.","8030 SOQUEL AVENUE, SANTA CRUZ, CALIFORNIA 95062, U.S.A.","UNITED STATES",2010-11-24,採集微血管血液樣品。,,,,
衛署醫器輸壹字第001070號,,,,2015-10-19,2005-10-19,醫　器,,DHA04400107006,生物梅里埃乳膠凝集金黃色葡萄球菌測定試劑組,"bioMerieux Slidex Staph Plus","C 免疫學及微生物學用裝置",,"輸　入 ",香港商生物梅里埃有限公司台灣分公司,台北市信義區松山路130號8樓,70814161,"BIOMERIEUX SA","CHEMIN DE L'ORME 69280 MARCY L'ETOILE, FRANCE",FRANCE,2014-08-04,以乳膠凝集法檢測金黃葡萄球菌。,,,,
衛署醫器輸壹字第001071號,,,,2015-10-19,2005-10-19,醫　器,,DHA04400107108,"優比腸桿菌鑑定套組 (滅菌)","ID 32 E (Sterile)","C 免疫學及微生物學用裝置",,"輸　入 ",香港商生物梅里埃有限公司台灣分公司,台北市信義區松山路130號8樓,70814161,"BIOMERIEUX SA","3 ROUTE DE PORT MICHAUD, 38390 LA BALME LES GROTTES, FRANCE",FRANCE,2014-08-04,利用生化反應以鑑定腸桿菌科和其他營養要求不高的革蘭氏陰性桿菌。,,,,
衛署醫器輸字第004221號,已註銷,1990-08-29,自請註銷,1987-10-30,1986-03-14,醫　器,,DHA00600422109,視野掃瞄儀,"""CILCO"" OCUSCAN","1208 眼體積描記器及眼科掃",,"輸　入 ",協聯藥品儀器股份有限公司,台北巿民權東路４９８號９Ｆ,03274904,CILCO/SONOMETRICS,"2865 POMONA BOULEVARD, POMONA, CALIFORNIA 91768","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第001972號,已註銷,1986-10-27,列屬無須查驗登記項目範圍,1987-04-14,1982-04-14,醫　器,,DHA00600197200,乙狀結腸窺鏡,"""A.C.M.I"" SIGMOIDOSCOPES.","0903 結腸鏡",,"輸　入 ",雄恆行股份有限公司,台北巿民權東路三段５８號八樓,03413602,"AMERICAN CYSTOSCOPE MAKERS INC.","300 STILLWATER AVENUE, STAMFORD. CONNECTICUT, 06902 U.S.A.","UNITED STATES",2001-12-30,,,,,
衛署醫器輸壹字第001304號,,,,2015-10-27,2005-10-27,醫　器,,DHA04400130405,"""柯尼卡美能達"" 乾式雷射片 (未滅菌)","""KONICA MINOLTA"" MEDICAL DRY IMAGING FILM (Non-sterile)","P 放射學科用裝置",,"輸　入 ",惠惇貿易有限公司,新北市中和區建八路2號10樓之5,22639003,"KONICA MINOLTA MEDICAL & GRAPHIC, INC.","1221 GOKURAKUJI SUNADA TAMAHOCHO NAKAKOMA-GUN, YAMANASHI 409-3811, JAPAN",JAPAN,2012-12-07,可在放射診斷過程中記錄影像。,,,,
衛署醫器輸壹字第001305號,已註銷,2012-11-01,許可證已逾有效期,2010-10-27,2005-10-27,醫　器,,DHA04400130507,盛悅散熱貼,"Pharmazon COOLING GEL SHEET","O 物理醫學科用裝置",,"輸　入 ",盛悅貿易有限公司,高雄市三民區明賢路32號1樓,80365190,"TOWA SEIYAKU K.K","1229 OAZAMARUSU,KISHIGAWA-CHO NAGA-GUN,WAKAYAMA-PREFECTURE,JAPAN",JAPAN,2012-11-07,,,,,
衛署醫器輸字第001973號,已註銷,1986-10-27,列屬無須查驗登記項目範圍,1987-04-14,1982-04-14,醫　器,,DHA00600197302,十二指腸窺鏡,"""A.C.M.I"" DUODENOSCOPES.","0919 十二指腸鏡",,"輸　入 ",雄恆行股份有限公司,台北巿民權東路三段５８號八樓,03413602,"AMERICAN CYSTOSCOPE MAKERS INC.","300 STILLWATER AVENUE, STAMFORD. CONNECTICUT, 06902 U.S.A.","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第001974號,已註銷,1986-10-27,列屬無須查驗登記項目範圍,1987-04-14,1982-04-14,醫　器,,DHA00600197404,膽道鏡,"""A.C.M.I"" CHOLEDOCHOSCOPES","0906 膽囊鏡",,"輸　入 ",雄恆行股份有限公司,台北巿民權東路三段５８號八樓,03413602,"AMERICAN CYSTOSCOPE MAKERS INC.","300 STILLWATER AVENUE, STAMFORD. CONNECTICUT, 06902 U.S.A.","UNITED STATES",2001-12-30,,,,,
衛署醫器輸壹字第004612號,,,,2016-05-26,2006-05-26,醫　器,1,DHA04400461205,“哈克斯”愛取登牙科手機(未滅菌),"“HAKUSUI”H-DENT DENTAL HANDPIECE (Non-Sterile)","F 牙科裝置","F4200 牙科手機及其附件","輸　入 ",偉平貿易有限公司,台中市北區永興街８號２樓,89865864,"HAKUSUI TRADING CO., LTD.","1-1-15 NIITAKA, YODOGAWA-KU, OSAKA 532-0033, JAPAN",JAPAN,2011-07-01,限醫療器材管理辦法「牙科手機及其附件(F.4200)」第一等級鑑別範圍。,,,,
衛署醫器輸字第001975號,已註銷,1986-10-27,列屬無須查驗登記項目範圍,1987-04-14,1982-04-14,醫　器,,DHA00600197506,腎臟窺鏡,"""A.C.M.I"" NEPHROSCOPE.","0913 腎臟鏡",,"輸　入 ",雄恆行股份有限公司,台北巿民權東路三段５８號八樓,03413602,"AMERICAN CYSTOSCOPE MAKERS INC.","300 STILLWATER AVENUE, STAMFORD. CONNECTICUT, 06902 U.S.A.","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第001976號,已註銷,1987-08-17,有效期間已屆未能補件,1987-04-21,1982-04-21,醫　器,,DHA00600197608,電子血壓計,"""T.E."" DIGITAL SPHYGMOMANOMETER","0504 數位血壓計",,"輸　入 ",富大貿易有限公司,台北巿天津街６２號７樓,11647505,"T. E. INC.","SHIMURA 2-16-20. ITABASHIKE. TOKYO JAPAN",JAPAN,2001-12-30,,,,,
衛署醫器輸壹字第001306號,,,,2015-10-27,2005-10-27,醫　器,,DHA04400130609,亞培設計師自動免疫分析分析儀,"ABBOTT Architect analyzer","A 臨床化學及臨床毒理學用裝置",,"輸　入 ",美商亞培股份有限公司台灣分公司,台北市中山區民生東路三段49號5樓、6樓及51號6樓,30961216,"ABBOTT LABORATORIES","1921 HURD DRIVE, IRVING, TEXAS 75038, U.S.A.","UNITED STATES",2014-08-04,以化學冷光技術定性或定量測試體液中之特定物質。,,,,
衛署醫器輸字第001977號,已註銷,1990-02-26,有效期限已屆,1987-04-21,1982-04-21,醫　器,,DHA00600197700,低週波治療器,"""BIOMETER"" NERVE STIMULATOR","1805 低週波治療器",,"輸　入 ",臺灣東機貿有限公司,台北巿信義路四段２４８號３Ｆ,,BIOMETER,"THROSGADE 8, DK-5000 ODENSEC, DENMARK",DENMARK,2001-12-30,,,,,
