,Q,A
26,關於肺癌，肺癌的放射治療療程為何？,放射治療可單獨使用，或配合手術、化學治療使用。一搬來說，放射治療是1週5天，1天1次，每次治療時間約5-10分鐘。肺癌的放射治療依目的而有不同的療程：單獨使用放射線做根治性（curative）放射治療的療程大於6週；為改善生活品質、減輕病人症狀所施行的放射治療，稱為緩和性（palliative）放射治療，大約2-3週。
27,關於肺癌，放射治療有哪些常見的副作用？,放射治療時，不僅癌細胞受損傷及死亡，照射範圍內的正常細胞也會被影響而出現副作用。肺癌的放射治療主要作用部位在腦部、胸部或骨頭。腦部放射治療的可能副作用，有噁心、嘔吐、急性漿液性中耳炎等。胸部放射治療的可能副作用，急性副作用如噁心、嘔吐、喉嚨及食道發炎或咳嗽等；慢性副作用如食道狹窄、脊髓炎，或因肺部發炎或纖維化而引起咳嗽、氣喘、呼吸困難。骨頭放射治療的副作用因照射部位而異，多屬輕微，常見的急性副作用包括疲倦與皮膚發炎等。
28,關於肺癌，放射治療時有哪些應注意的事項?,1.放射線無聲無色無味，治療時就像照X-光一樣，不會痛、沒有任何感覺。為了要精確地照射，放射治療時，身體必須保持不動。當放射師將位置對準後，他們會離開治療室，回到操控室，啟動放射治療機。放射治療機很龐大，故在轉動時會有聲響，但不必害怕，它是很安全的。放射師會從操控室的閉路電視一直觀察病人情況，亦可與病人對話。病人在放射治療當中有任何不適，只要立即向放射師表明，馬上可以中止治療。 2.若正在服用任何藥物或對某些藥物過敏，請告知放射腫瘤醫師或護理師。 3.放射治療期間可能會感到疲倦及厭食，這種反應可能會持續到治療結束後4-6週。因此，必須補充營養，充分休息及睡眠。 4.要攝取均衡的飲食。 5.治療部位避免穿緊繃的衣物。 6.治療部位的皮膚容易受傷，請依照護理人員指示細心照顧。
29,關於肺癌，肺癌手術有哪些風險?,肺癌手術是重大手術，針對癌症治療，雖然是除惡務盡，但大量的肺臟切除，會造成病患術後肺功能受損，甚至呼吸衰竭，也可能引起血液運力學變化，造成心律不整，其他可能的併發症還有肺炎、血胸、氣胸、膿胸和傷口感染等。
30,關於肺癌，肺癌手術病患須要哪些胸腔復健運動和呼吸照護?,胸腔復健運動，包括上臂抬舉、擴胸運動和走路等，都可以促進全身循環，幫助肺擴張，有利康復。建議病患於手術後開始執行，約1-2週就可提高肺活量和改善肺功能。在呼吸照護方面，可教導病患做丹田式腹式呼吸，將雙手放在腹部，慢慢由鼻子吸氣，等腹部鼓起，嘴巴再慢慢吐氣，使腹部縮下去。另外，可以做咳嗽動作，病患坐定後，用雙手按住傷口，先做深呼吸，再慢慢深吸一口氣，閉氣，在吐氣時，順便咳出。
31,關於肺癌，肺癌手術後出院，傷口該如何照顧?,數後1周內因還有縫線建議暫時不要碰水，返家後傷口需每天換藥1次，傷口應保持乾燥，傷口未拆線前勿碰水，先以擦澡方式清潔身體，告知應隨時觀察傷口情形，若傷口有紅腫及異常分泌物時應立即返診，
32,關於肺癌，放射治療期間應如何照護?,接受放射治療的病人，放射線會穿過皮膚至腫瘤，消滅腫瘤細胞。放射線會使皮膚出現紅癢、顏色變深、脫皮及疼痛等反應，所以平時應穿著寬鬆、柔軟、容易吸汗的衣物，以減輕對照射部位皮膚的刺激。皮膚紅癢者，切記不可用手去抓及自行買藥擦，可輕輕拍打紅癢部位，用清水輕拭，並請告訴醫護人員。
33,關於肺癌，化學治療期間應如何照護?,接受化學治療的病人及其家屬，要了解化療藥物有噁心、嘔吐等副作用。當病人覺得噁心、嘔吐時，應加以安慰，鼓勵他們不要輕易放棄或暫停治療，醫師經評估後，也會開給止吐藥來緩解不適。在飲食方面，宜少量多餐，避免空腹及生食。掉髮也可能是化學治療的副作用之ㄧ，切記在治療期間不要染髮，外出可戴帽子或假髮，化學治療結束後3個月，頭髮不但會再長出來，可能還會長得更柔更美，但目前肺癌使用之化療藥物大部份是不會掉髮！不論放射治療或化學治療，都可能造成口腔損傷，包括味覺改變、口乾、牙齦出血等。上述症狀通常在治療1週後陸續出現，但並非每個病人都會如此。為維護口腔舒適，更應該保持口腔清潔與衛生。
34,關於肺癌，化學治療有哪些常見的副作用？,化學治療的副作用依照藥物的不同而有所不同，常見的副作用包括噁心、嘔吐、白血球下降、貧血、血小板低下、疲倦，掉髮、便秘、腹瀉、口腔潰瘍等。這些副作用不是必然會發生，並且許多症狀有方法可以改善，因此不必為了化學治療的副作用而在事前有太多的恐懼。
35,關於肺癌，化學治療產生的副作用要如何處理？,噁心、嘔吐：少量多餐，只要避免太甜、太油或油炸的食物，大可選擇自己愛吃的東西。一般而言，除了未煮熟或不衛生的食物以外，飲食上並無特別禁忌。必要時可用止吐劑來減輕症狀。 白血球下降：一般在化學治療後7-14天，白血球會降到最低。該注意的事項包括注意清潔衛生、勤洗手、避免出入公共場所和避免生食。如果發燒了，應立即告知醫師。 貧血：這是化學治療常見的副作用，會讓人感到疲倦，心悸，活動性喘，頭暈等，應充分休息，攝取足夠的營養。較嚴重的貧血，可以考慮輸血或使用紅血球生成素來改善。 便秘：攝取足夠的蔬菜、水果、高纖食物、水分，並且要有適度的運動，必要時使用一些瀉劑幫助排便。 掉髮：許多化學治療藥物都會會造成掉髮，建議先將頭髮剪短以減少落髮的髒亂，也可以戴假髮、頭巾或帽子來美化外觀。掉髮是暫時性的，一但停止化學治療，大部分頭髮就會重新長出來。
36,關於肺癌，何謂「標靶治療」？,針對癌細胞特有的表面標記或訊息傳遞途徑，以小分子化合物或單株抗體加以阻斷，抑制腫瘤細胞增殖，促進癌細胞凋亡，以及抑制血管生成等，即稱之「標靶治療」。一般來說，「標靶治療」藥物產生的副作用比一般傳統化學治療藥物小，但不是完全沒有。此外，一種「標靶治療」藥物常對某一特定的病人族群比較有效，因此不應該迷信「標靶治療」絕對勝過傳統化學治療，必須與專業醫師詳細討論後，再決定應以何種治療為優先。
37,關於肺癌，手術後多久要追蹤?,告知一般術後3個月會安排肺部電腦斷層掃瞄檢查追蹤，之後會6-12個月追蹤1次
38,關於肺癌，我可以回職場嗎?,"視工作場合，自我評估
整體狀況，適時回歸職場"
39,關於肺癌，我可以運動嗎?,"視個人身體狀況及體力
漸近式增加運動質量"
40,關於肺癌，「標靶治療」常見的副作用有哪些？,「標靶治療」藥物的副作用通常比傳統化學治療低。「標靶治療」比較不會產生骨髓抑制，也比較不會有白血球、血小板低下或貧血的現象，但會出現一些不同於化學治療的副作用。例如「艾瑞莎」和「得舒緩」會使得皮膚乾癢、長出像青春痘般的疹子、甲溝炎、腹瀉等等，少部分病人的肝功能還會上升。另外，大約有1%的人服用這類藥物會產生「間質性肺炎」（大多發生在開始服藥後的前兩個月），這是比較嚴重的副作用，病人可能因此呼吸衰竭，因此服用此類藥物若發生呼吸困難、咳嗽加劇，發燒的症狀，請迅速就醫。
41,關於肺癌，服用標靶藥物有什麼不能吃嗎?,建議葡萄柚、柚子、人蔘不要吃
42,關於肺癌，藥物治療期間應該要吃甚麼？,"接受化學治療期間應避免生食及未煮熟的食物，並注意維持高
蛋白、高卡路里的食物，增加維生素 A 及C，以預防感染。"
43,"關於肺癌，藥物治療期間出現口腔
潰瘍時應如何照護？","化療期間應於餐後刷牙或漱口，並每日以牙線清潔牙縫一次，
以維持口腔清潔。口腔潰瘍時，食物質地宜採軟質或流質，並進
食無酸性、溫暖或涼的食物，以減少刺激。必要時向您的個案管
理師做進一步的照護諮詢。"
44,關於肺癌，手術後會一直咳嗽正常嗎?,術後咳嗽為常見現象，一般約需1-3個月修復時間，避免辛辣、刺激的食物
45,關於肺癌，手術後會麻痛不適正常嗎?,與手術傷到神經有關，一般約需3-6個月修復時間
46,關於肺癌，什麼時後要至急診就醫呢?,1. 如果耳溫上升至38 度，隔一小時再量仍未下降或24小時內有兩次體溫上升至38度以上，或第一次測量體溫高燒至38.5度以上，即應至醫院掛急診，並告知急診醫師您的診斷及上次進行化學治療時間。2.劇烈嘔吐。3.呼吸喘、呼吸困難
47,關於肺癌，發生口腔黏膜炎要怎麼照顧?,請參考衛教資訊「癌症病人口腔黏膜炎照護須知」https://www.vghtc.gov.tw/APIPage/HealthEduDetail?PDFFILE=171E8DE8C97.pdf&PDFTITLE=%E7%99%8C%E7%97%87%E7%97%85%E4%BA%BA%E5%8F%
48,關於肺癌，發生口腔潰瘍要怎麼照顧?,請參考「化學治療-常見副作用(中)」https://www.youtube.com/watch?v=aBHLE-h6Y5M&feature=youtu.be
49,關於肺癌，化學治療需要注意什麼?,請參考「化學治療-常見副作用(上)」https://youtu.be/8P83kA7EnK8
50,關於肺癌，化學治療需要注意什麼?,請參考「化學治療-常見副作用(下)」https://youtu.be/ib4uP2m26bE
51,關於肺癌，在化學治療期間我可以吃中藥進補嗎?,建議均衡飲食 或與您的主治醫師討論。
52,關於肺癌，我便祕了怎麼辦?,請參考衛教資訊https://www.vghtc.gov.tw/UnitPage/RowViewDetail?WebRowsID=7b7cd96f-2d02-45e3-99d4-f41e6939384d&UnitID=18272b34-99f2-4b3a-9139-3959ac05f5a0&CompanyID=e8e0488e-54a0-44bf-b10c-d029c423f6e7&UnitDefaultTemplate=1
53,關於肺癌，治療沒食慾怎麼辦?,請參考衛教資訊https://www.youtube.com/watch?v=8mH4DkcAlGA&list=PLTuzBRPLNTXw7Qz615srtpSIXkDVl9CpH&index=4
54,關於肺癌，化療後感覺手麻腳麻的怎麼辦?,請參考衛教資訊https://ihealth.vghtc.gov.tw/media/1303
55,關於肺癌，人工血管要怎麼照顧?,請參考衛教資訊https://ihealth.vghtc.gov.tw/media/887
56,關於肺癌，治療中可以做什麼運動呢?,請參考衛教資訊https://ihealth.vghtc.gov.tw/media/572
57,關於肺癌，化學治療期間飲食衛教,"請參考衛教資訊
化學治療期間的飲食照護及營養支持-護理部衛教單張"
58,關於肺癌，什麼是新藥臨床試驗？,藥品必須進行臨床實驗，獲得對人體安全性及有效性的資料之後，才能提出新藥申請，如獲核准方可上市供適合的病人使用。因此，臨床試驗是以人為試驗對象的研究。一般臨床試驗分為4期：第一期至第四期，逐步推進。目前臨床上使用的藥物，尤其是抗癌用藥，幾乎都已通過臨床試驗，有其足夠的安全性及有效性。
59,關於肺癌，參加臨床試驗可能的好處為何？,參與臨床試驗的受試者，可以優先使用新的療法，此療法有可能優於目前的標準治療。他們在臨床試驗的過程中，將會獲得研究團隊嚴謹仔細及最先進的醫療照顧，特別是國際藥廠所做的跨國性臨床試驗，嚴謹度更是無庸置疑。受試者有機會因新的治療方法而受益，研究的結果也能夠幫助未來的病人。
60,關於肺癌，參加臨床試驗會有什麼風險或副作用？,各種治療方法都有其風險及副作用，臨床試驗也不例外，副作用因所用藥物及個人體質而異。由於癌症是一種會威脅生命的疾病，癌症的治療本身往往也會出現副作用，因此您在決定參與臨床試驗前，一定要請醫師評估病情及個人的身體狀況，充分了解可能遭遇的風險及好處後，再決定是否加入。
61,關於肺癌，什麼樣的人可以參加臨床試驗？,通常臨床試驗訂有一定的收錄篩選標準，受試者須符合該試驗的篩選標準，以降低參加臨床藥物試驗的危險程度。每一個臨床試驗設定的標準都不同，譬如某些臨床試驗會排除有心臟疾病的患者，有些試驗僅選擇肺癌第四期的病人等等。臨床醫師必須仔細評估受試者的身體狀況，並且詳細解釋，讓受試者在完全瞭解該臨床試驗的潛在好處及危險性，受試者簽署同意書之後，才能參加臨床試驗。
62,關於肺癌，肺癌的放射治療療程為何？,放射治療可單獨使用，或配合手術、化學治療使用。一搬來說，放射治療是1週5天，1天1次，每次治療時間約5-10分鐘。肺癌的放射治療依目的而有不同的療程：單獨使用放射線做根治性（curative）放射治療的療程大於6週；為改善生活品質、減輕病人症狀所施行的放射治療，稱為緩和性（palliative）放射治療，大約2-3週。
63,關於肺癌，放射治療有哪些常見的副作用？,放射治療時，不僅癌細胞受損傷及死亡，照射範圍內的正常細胞也會被影響而出現副作用。肺癌的放射治療主要作用部位在腦部、胸部或骨頭。腦部放射治療的可能副作用，有噁心、嘔吐、急性漿液性中耳炎等。胸部放射治療的可能副作用，急性副作用如噁心、嘔吐、喉嚨及食道發炎或咳嗽等；慢性副作用如食道狹窄、脊髓炎，或因肺部發炎或纖維化而引起咳嗽、氣喘、呼吸困難。骨頭放射治療的副作用因照射部位而異，多屬輕微，常見的急性副作用包括疲倦與皮膚發炎等。
64,關於肺癌，放射治療時有哪些應注意的事項?,1.放射線無聲無色無味，治療時就像照X-光一樣，不會痛、沒有任何感覺。為了要精確地照射，放射治療時，身體必須保持不動。當放射師將位置對準後，他們會離開治療室，回到操控室，啟動放射治療機。放射治療機很龐大，故在轉動時會有聲響，但不必害怕，它是很安全的。放射師會從操控室的閉路電視一直觀察病人情況，亦可與病人對話。病人在放射治療當中有任何不適，只要立即向放射師表明，馬上可以中止治療。 2.若正在服用任何藥物或對某些藥物過敏，請告知放射腫瘤醫師或護理師。 3.放射治療期間可能會感到疲倦及厭食，這種反應可能會持續到治療結束後4-6週。因此，必須補充營養，充分休息及睡眠。 4.要攝取均衡的飲食。 5.治療部位避免穿緊繃的衣物。 6.治療部位的皮膚容易受傷，請依照護理人員指示細心照顧。
65,關於肺癌，肺癌手術有哪些風險?,肺癌手術是重大手術，針對癌症治療，雖然是除惡務盡，但大量的肺臟切除，會造成病患術後肺功能受損，甚至呼吸衰竭，也可能引起血液運力學變化，造成心律不整，其他可能的併發症還有肺炎、血胸、氣胸、膿胸和傷口感染等。
66,關於肺癌，肺癌手術病患須要哪些胸腔復健運動和呼吸照護?,胸腔復健運動，包括上臂抬舉、擴胸運動和走路等，都可以促進全身循環，幫助肺擴張，有利康復。建議病患於手術後開始執行，約1-2週就可提高肺活量和改善肺功能。在呼吸照護方面，可教導病患做丹田式腹式呼吸，將雙手放在腹部，慢慢由鼻子吸氣，等腹部鼓起，嘴巴再慢慢吐氣，使腹部縮下去。另外，可以做咳嗽動作，病患坐定後，用雙手按住傷口，先做深呼吸，再慢慢深吸一口氣，閉氣，在吐氣時，順便咳出。
67,關於肺癌，肺癌手術後出院，傷口該如何照顧?,數後1周內因還有縫線建議暫時不要碰水，返家後傷口需每天換藥1次，傷口應保持乾燥，傷口未拆線前勿碰水，先以擦澡方式清潔身體，告知應隨時觀察傷口情形，若傷口有紅腫及異常分泌物時應立即返診，
68,關於肺癌，放射治療期間應如何照護?,接受放射治療的病人，放射線會穿過皮膚至腫瘤，消滅腫瘤細胞。放射線會使皮膚出現紅癢、顏色變深、脫皮及疼痛等反應，所以平時應穿著寬鬆、柔軟、容易吸汗的衣物，以減輕對照射部位皮膚的刺激。皮膚紅癢者，切記不可用手去抓及自行買藥擦，可輕輕拍打紅癢部位，用清水輕拭，並請告訴醫護人員。
69,關於肺癌，化學治療期間應如何照護?,接受化學治療的病人及其家屬，要了解化療藥物有噁心、嘔吐等副作用。當病人覺得噁心、嘔吐時，應加以安慰，鼓勵他們不要輕易放棄或暫停治療，醫師經評估後，也會開給止吐藥來緩解不適。在飲食方面，宜少量多餐，避免空腹及生食。掉髮也可能是化學治療的副作用之ㄧ，切記在治療期間不要染髮，外出可戴帽子或假髮，化學治療結束後3個月，頭髮不但會再長出來，可能還會長得更柔更美，但目前肺癌使用之化療藥物大部份是不會掉髮！不論放射治療或化學治療，都可能造成口腔損傷，包括味覺改變、口乾、牙齦出血等。上述症狀通常在治療1週後陸續出現，但並非每個病人都會如此。為維護口腔舒適，更應該保持口腔清潔與衛生。
70,關於肺癌，化學治療有哪些常見的副作用？,化學治療的副作用依照藥物的不同而有所不同，常見的副作用包括噁心、嘔吐、白血球下降、貧血、血小板低下、疲倦，掉髮、便秘、腹瀉、口腔潰瘍等。這些副作用不是必然會發生，並且許多症狀有方法可以改善，因此不必為了化學治療的副作用而在事前有太多的恐懼。
71,關於肺癌，化學治療產生的副作用要如何處理？,噁心、嘔吐：少量多餐，只要避免太甜、太油或油炸的食物，大可選擇自己愛吃的東西。一般而言，除了未煮熟或不衛生的食物以外，飲食上並無特別禁忌。必要時可用止吐劑來減輕症狀。 白血球下降：一般在化學治療後7-14天，白血球會降到最低。該注意的事項包括注意清潔衛生、勤洗手、避免出入公共場所和避免生食。如果發燒了，應立即告知醫師。 貧血：這是化學治療常見的副作用，會讓人感到疲倦，心悸，活動性喘，頭暈等，應充分休息，攝取足夠的營養。較嚴重的貧血，可以考慮輸血或使用紅血球生成素來改善。 便秘：攝取足夠的蔬菜、水果、高纖食物、水分，並且要有適度的運動，必要時使用一些瀉劑幫助排便。 掉髮：許多化學治療藥物都會會造成掉髮，建議先將頭髮剪短以減少落髮的髒亂，也可以戴假髮、頭巾或帽子來美化外觀。掉髮是暫時性的，一但停止化學治療，大部分頭髮就會重新長出來。
72,關於肺癌，何謂「標靶治療」？,針對癌細胞特有的表面標記或訊息傳遞途徑，以小分子化合物或單株抗體加以阻斷，抑制腫瘤細胞增殖，促進癌細胞凋亡，以及抑制血管生成等，即稱之「標靶治療」。一般來說，「標靶治療」藥物產生的副作用比一般傳統化學治療藥物小，但不是完全沒有。此外，一種「標靶治療」藥物常對某一特定的病人族群比較有效，因此不應該迷信「標靶治療」絕對勝過傳統化學治療，必須與專業醫師詳細討論後，再決定應以何種治療為優先。
73,關於肺癌，什麼是安寧緩和醫療？,安寧緩和醫療是由一群醫療專業人員（包括醫師、護理師、社工師、志工和宗教人員）組成醫療團隊來照顧末期病人，協助病人減輕身體不適（如疼痛、噁心、嘔吐等），並統合心理、社會、靈性各方面，將病人及家屬的生活品質提升到最好的程度。醫療團隊同時會引領病患及其家屬，面對死亡的各種不同情緒（如傷心、不捨、憂鬱），陪伴家屬在病人臨終期及病人死亡後哀傷期（bereavement）的調適。病人如果病情穩定出院，可以安排安寧居家照護做後續追蹤。
74,關於肺癌，什麼是安寧療護？,請參考https://ihealth.vghtc.gov.tw/media/1253
75,關於肺癌，安寧病房需要自費嗎？和一般病房有什麼不同？,請參考https://ihealth.vghtc.gov.tw/media/1062
76,關於肺癌，家人已經疾病末期了，我可以怎麼做準備?,請參考本院衛教資訊https://ihealth.vghtc.gov.tw/media/1066
77,關於肺癌，安寧照護一定要住在安寧病房嗎？,是否需要住進安寧病房會由安寧醫師評估，安寧不只有安寧病房，包括安寧共照、居家安寧也都是安寧的一種
78,關於肺癌，什麼是居家安寧?,「安寧居家照護」就是將醫療照護由醫院延伸至家中的照護模式。定期會有醫師和護理師至家理訪視病人，需要自付訪視費、交通補助費及特殊材料費。
79,關於肺癌，一般病房和安寧病房有什麼不同？,安寧病房為了能夠讓末期病人得到最好的照顧，讓病患和家屬得到較好的生活品質，在硬體和人員上有一些與一般病房不同處；在人員上由受過專業訓練的醫療團隊人員為病人服務，在環境上，具有寬敞、明亮、安靜、溫暖之特色，亦提供很多的設施，如交誼廳、廚房、佛堂、祈禱室、助念室，在設備上，提供舒適設備，如洗澡機、洗頭機、美膚機等，讓病人及家屬能得到更多、更好、更貼心的人性化照顧。
80,關於肺癌，安寧病房是不是等死的地方？,不是！很多人誤解安寧病房是等死的地方，住到那兒什麼都不做！事實不然，末期的病人住到安寧病房，反而得到最積極最好的照顧。
81,關於肺癌，安寧病房是不是放棄治療的地方呢？,不是！安寧病房是提供末期病患一個像家一樣舒適、溫暖及獲得人性化照顧的地方。住到安寧病房並不是放棄治療，而是捨棄不再有療效的治療，將治療目標從疾病治癒轉向症狀控制。
82,關於肺癌，安寧病房是不是可以一直住到死的地方呢？,不是！安寧病房是一個處理症狀的急性病房，不是安養機構，病人若症狀已獲得有效控制，就可以回家調養或轉介其他安養機構，以讓更需要的病人住院。
83,關於肺癌，住在安寧病房是否不需要家屬陪伴？,親人的陪伴對病人而言，是任何人無法取代，尤其在病人有限的生命時間裡，我們鼓勵家人盡量抽控陪伴。為避免病患有被遺棄的不舒服感受，基本上還是期待家人能陪伴。若真沒有人力可陪伴，可視情況請看護照顧，或由護理人員、志工協助予以照顧，但家人需與工作人員保持密切聯繫，若家人有經濟上的困難，可請社工師評估，再依個別情況給予合宜之補助與協助。
84,關於肺癌，住安寧病房可以手術嗎?是否可以接受化學治療或放射線治療？,只要對病患有幫助的處置，如緩解病患的不適的小手術或少劑量的放射線治療都可做。
85,關於肺癌，安寧病房是不是一直打止痛藥、鎮靜安眠藥，讓病人整天昏睡的地方？,不是！我們運用專業知識，適當使用各種藥物、儀器設備及輔助療法，減輕病人的症狀，保持他們的身體舒適，並協助病患、家屬面對及渡過死亡的過程，幫助他們在人生的最後階段適應新的生活
86,"關於大腸直腸癌，大腸直腸癌的
病人都需要接受開刀治療嗎？","手術為大腸直腸癌的根治方法，但是根據每位個案診斷時的部
位、期別及體能狀態，醫師會給予不同的治療計畫，所以建議
向您的個案管理師諮詢相關的治療，或進一步與您的醫師進行
討論。"
87,關於大腸直腸癌，若有家族史應該於何時篩檢？,"通常有家族史的病人都要接受全大腸的檢查，最好每兩年就要
作一次大腸鏡，通常建議在 20 到30 歲就可以開始作，且在40
歲之後每年行一次大腸鏡檢查。"
88,關於大腸直腸癌，我罹癌了，我該怎麼吃?,"請參考https://www.ecancer.org.tw/CustomizationPage1.aspx?
CustID=1079&UnitID=10234
(衛教手冊)"
89,關於大腸直腸癌，我會有造口嗎？,腸癌分結腸及直腸，造口常見直腸癌，及發生腸阻塞時的狀況。
90,關於大腸直腸癌，大腸癌是什麼？種類有哪些？那種大腸癌較常見？ ,台灣大腸區域所發現的癌種九成以上屬於腺癌，少數為神經內分泌癌，其他種類的大腸癌較為罕見
